"word","phonetic","definition","translation","pos","collins","oxford","tag","bnc","frq","exchange","example","example_translation"
"deteriorate","/dɪˈtɪriəreɪt/","v. to become worse","v. 恶化；退化","v.","3","0","cet6","6123","2.4","0:deteriorates/1:deteriorating/2:deteriorated","The situation continued to deteriorate.","情况继续恶化。"
"deviate","/ˈdiːvieɪt/","v. to depart from course","v. 偏离；背离","v.","3","0","cet6","6789","2.1","0:deviates/1:deviating/2:deviated","Don't deviate from the plan.","不要偏离计划。"
"diagnose","/ˌdaɪəɡˈnoʊs/","v. to identify illness","v. 诊断","v.","3","0","cet6","5432","2.6","0:diagnoses/1:diagnosing/2:diagnosed","The doctor diagnosed the disease.","医生诊断了疾病。"
"differentiate","/ˌdɪfəˈrenʃieɪt/","v. to recognize differences","v. 区分；区别","v.","3","0","cet6","4987","2.8","0:differentiates/1:differentiating/2:differentiated","It's hard to differentiate between them.","很难区分它们。"
"diffuse","/dɪˈfjuːz/","v. to spread over area","v. 扩散；传播","v.","3","0","cet6","6123","2.4","0:diffuses/1:diffusing/2:diffused","The news quickly diffused.","消息迅速传开。"
"dilemma","/dɪˈlemə/","n. difficult choice situation","n. 困境；进退两难","n.","3","0","cet6","5678","2.5","0:dilemmas","She faced a dilemma.","她面临困境。"
"dilute","/daɪˈluːt/","v. to make thinner","v. 稀释；冲淡","v.","3","0","cet6","6789","2.1","0:dilutes/1:diluting/2:diluted","He diluted the solution with water.","他用水稀释了溶液。"
"diminish","/dɪˈmɪnɪʃ/","v. to make or become less","v. 减少；减弱","v.","3","0","cet6","4890","2.9","0:diminishes/1:diminishing/2:diminished","His influence began to diminish.","他的影响力开始减弱。"
"abolish","/əˈbɑːlɪʃ/","v. to formally put end","v. 废除；取消","v.","3","0","ky","5432","2.6","0:abolishes/1:abolishing/2:abolished","The law was abolished.","法律被废除了。"
"acquaint","/əˈkweɪnt/","v. to make aware","v. 使熟悉；了解","v.","3","0","ky","7230","1.8","0:acquaints/1:acquainting/2:acquainted","I need to acquaint myself with the rules.","我需要熟悉规则。"
"adhere","/ədˈhɪr/","v. to stick firmly","v. 遵守；粘附","v.","3","0","ky","5678","2.5","0:adheres/1:adhering/2:adhered","You must adhere to the rules.","你必须遵守规则。"
"adjacent","/əˈdʒeɪsnt/","adj. next to","adj. 邻近的","adj.","3","0","ky","6123","2.4","","The building is adjacent to the park.","建筑毗邻公园。"
"affiliate","/əˈfɪlieɪt/","v. to officially attach","v. 使隶属；加入","v.","3","0","ky","6789","2.1","0:affiliates/1:affiliating/2:affiliated","The company is affiliated with a larger group.","公司隶属于大集团。"
"aggravate","/ˈæɡrəveɪt/","v. to make worse","v. 加重；恶化","v.","3","0","ky","7230","1.8","0:aggravates/1:aggravating/2:aggravated","The injury was aggravated by the fall.","摔倒加重了伤势。"
"agitate","/ˈædʒɪteɪt/","v. to make troubled","v. 鼓动；煽动","v.","3","0","ky","7890","1.6","0:agitates/1:agitating/2:agitated","The speech agitated the crowd.","演讲煽动了人群。"
"alienate","/ˈeɪliəneɪt/","v. to cause isolation","v. 使疏远；离间","v.","3","0","ky","7230","1.8","0:alienates/1:alienating/2:alienated","His behavior alienated his friends.","他的行为疏远了朋友。"
"alliance","/əˈlaɪəns/","n. union for benefit","n. 联盟；同盟","n.","3","0","ky","4567","2.9","0:alliances","They formed an alliance against the enemy.","他们结成同盟对抗敌人。"
"allot","/əˈlɑːt/","v. to give or apportion","v. 分配；拨出","v.","3","0","ky","7230","1.8","0:allots/1:allotting/2:allotted","Each participant was allotted a time slot.","每个参与者分配了时间段。"
"alternate","/ˈɔːltərneɪt/","v. to occur in turn","v. 交替；轮流","v.","3","0","ky","5890","2.4","0:alternates/1:alternating/2:alternated","The seasons alternate throughout the year.","四季交替。"
"amplify","/ˈæmplɪfaɪ/","v. to increase volume","v. 放大；增强","v.","3","0","ky","6789","2.1","0:amplifies/1:amplifying/2:amplified","The amplifier boosted the sound.","放大器增强了声音。"
"anguish","/ˈæŋɡwɪʃ/","n. severe pain","n. 痛苦；苦恼","n.","3","0","ky","7890","1.6","","She cried out in anguish.","她痛苦地哭了出来。"
"appal","/əˈpɔːl/","v. to dismay","v. 使惊骇；震惊","v.","3","0","ky","8345","1.4","0:appals/1:appalling/2:appalled","The news appalled everyone.","消息震惊了所有人。"
"appendix","/əˈpendɪks/","n. section at end","n. 附录；阑尾","n.","3","0","ky","6789","2.1","0:appendices","The appendix contains additional data.","附录包含额外数据。"
"applaud","/əˈplɔːd/","v. to show approval","v. 鼓掌；称赞","v.","3","0","ky","6123","2.4","0:applauds/1:applauding/2:applauded","The audience applauded loudly.","观众大声鼓掌。"
"apt","/æpt/","adj. appropriate","adj. 恰当的","adj.","3","0","ky","6789","2.1","","That was an apt remark.","那是恰当的评论。"
"arrogant","/ˈærəɡənt/","adj. exaggerated sense","adj. 傲慢的","adj.","3","0","ky","6123","2.4","","He is an arrogant man.","他是傲慢的人。"
"artery","/ˈɑːrtəri/","n. major blood vessel","n. 动脉","n.","3","0","ky","7230","1.8","0:arteries","The artery was blocked.","动脉堵塞了。"
"ascend","/əˈsend/","v. to go up","v. 上升；攀登","v.","3","0","ky","5890","2.4","0:ascends/1:ascending/2:ascended","They began to ascend the mountain.","他们开始登山。"
"ascribe","/əˈskraɪb/","v. to attribute","v. 归因于","v.","3","0","ky","6789","2.1","0:ascribes/1:ascribing/2:ascribed","He ascribed his success to hard work.","他把成功归因于努力工作。"
"aspire","/əˈspaɪər/","v. to direct hopes","v. 渴望；追求","v.","3","0","ky","7230","1.8","0:aspires/1:aspiring/2:aspired","She aspires to become a doctor.","她渴望成为医生。"
"assassinate","/əˈsæsɪneɪt/","v. to murder important","v. 暗杀","v.","3","0","ky","8345","1.4","0:assassinates/1:assassinating/2:assassinated","The president was assassinated.","总统被暗杀了。"
"attain","/əˈteɪn/","v. to succeed in achieving","v. 达到；获得","v.","3","0","ky","4567","2.9","0:attains/1:attaining/2:attained","She attained her goal.","她实现了目标。"
"auction","/ˈɔːkʃn/","n. public sale","n. 拍卖","n.","3","0","ky","6123","2.4","0:auctions/1:auctioning/2:auctioned","The painting was sold at auction.","画在拍卖会上售出。"
"audit","/ˈɔːdɪt/","n. official inspection","n. 审计；审查","n.","3","0","ky","6789","2.1","0:audits/1:auditing/2:audited","The company underwent an audit.","公司接受了审计。"
"augment","/ɔːɡˈment/","v. to make greater","v. 增加；增强","v.","3","0","ky","7230","1.8","0:augments/1:augmenting/2:augmented","They plan to augment resources.","他们计划增加资源。"
"autonomy","/ɔːˈtɑːnəmi/","n. right of self-government","n. 自治；自主权","n.","3","0","ky","5678","2.5","","The region gained autonomy.","地区获得了自治权。"
"avail","/əˈveɪl/","v. to help or benefit","v. 有益于","v.","3","0","ky","8345","1.4","0:avails/1:availing/2:availed","All efforts availed nothing.","所有努力都白费了。"
"avert","/əˈvɜːrt/","v. to turn away","v. 避免；防止","v.","3","0","ky","7230","1.8","0:averts/1:averting/2:averted","They tried to avert disaster.","他们试图避免灾难。"
"awe","/ɔː/","n. reverential respect","n. 敬畏；惊叹","n.","3","0","ky","8345","1.4","","The view filled us with awe.","景色令我们敬畏。"
"baffle","/ˈbæfl/","v. to bewilder","v. 使困惑；难住","v.","3","0","ky","6123","2.4","0:baffles/1:baffling/2:baffled","The problem baffled everyone.","问题难住了所有人。"
"bald","/bɔːld/","adj. no hair","adj. 秃头的","adj.","3","0","ky","6123","2.4","","He is bald.","他是秃头。"
"bankrupt","/ˈbæŋkrʌpt/","adj. unable to pay debts","adj. 破产的","adj.","3","0","ky","5432","2.6","","The company went bankrupt.","公司破产了。"
"barren","/ˈbærən/","adj. unable to produce","adj. 贫瘠的","adj.","3","0","ky","6789","2.1","","The land is barren.","土地很贫瘠。"
"beforehand","/bɪˈfɔːrhænd/","adv. in advance","adv. 事先；预先","adv.","3","0","ky","6123","2.4","","Let me know beforehand.","提前告诉我。"
"besiege","/bɪˈsiːdʒ/","v. to surround","v. 包围；围困","v.","3","0","ky","7890","1.6","0:besieges/1:besieging/2:besieged","The city was besieged for months.","城市被围困了几个月。"
"bewilder","/bɪˈwɪldər/","v. to perplex","v. 使迷惑","v.","3","0","ky","6789","2.1","0:bewilders/1:bewildering/2:bewildered","The maze bewildered the visitors.","迷宫使游客迷惑。"
"bias","/ˈbaɪəs/","n. inclination","n. 偏见；偏爱","n.","3","0","ky","5678","2.5","0:biases/1:biasing/2:biased","There is a bias in the report.","报告中有偏见。"
"bizarre","/bɪˈzɑːr/","adj. very strange","adj. 奇异的","adj.","3","0","ky","6123","2.4","","It was a bizarre experience.","这是奇异的经历。"
"blaze","/bleɪz/","n. large fire","n. 火焰；光辉","n.","3","0","ky","6789","2.1","0:blazes/1:blazing/2:blazed","The blaze destroyed the building.","大火烧毁了建筑。"
"bleak","/bliːk/","adj. cold and miserable","adj. 阴冷的","adj.","3","0","ky","6123","2.4","","The future looks bleak.","前景很黯淡。"
"blunder","/ˈblʌndər/","n. stupid mistake","n. 错误；大错","n.","3","0","ky","6789","2.1","0:blunders/1:blundering/2:blundered","He made a serious blunder.","他犯了一个严重的错误。"
"blunt","/blʌnt/","adj. worn-down edge","adj. 钝的；直率的","adj.","3","0","ky","6123","2.4","","He gave a blunt answer.","他给出了直率的回答。"
"boycott","/ˈbɔɪkɑːt/","v. to refuse to buy","v. 抵制；排斥","v.","3","0","ky","6123","2.4","0:boycotts/1:boycotting/2:boycotted","They decided to boycott the product.","他们决定抵制该产品。"
"breach","/briːtʃ/","n. breaking a law","n. 违反；破坏","n.","3","0","ky","5678","2.5","0:breaches/1:breaching/2:breached","This is a breach of contract.","这是违约。"
"brisk","/brɪsk/","adj. active and energetic","adj. 轻快的","adj.","3","0","ky","6789","2.1","","She took a brisk walk.","她轻快地走了一段路。"
"brittle","/ˈbrɪtl/","adj. hard but easily broken","adj. 易碎的","adj.","3","0","ky","7230","1.8","","The glass is brittle.","玻璃易碎。"
"brutal","/ˈbruːtl/","adj. savagely violent","adj. 野蛮的；残忍的","adj.","3","0","ky","5678","2.5","","It was a brutal attack.","这是野蛮的袭击。"
"abundant","/əˈbʌndənt/","adj. existing in large quantities","adj. 丰富的","adj.","3","0","toefl","6543","2.2","","The area has abundant wildlife.","该地区有丰富的野生动物。"
"abuse","/əˈbjuːz/","v. to use wrongly","v. 滥用；虐待","v.","3","0","toefl","2134","4.1","0:abuses/1:abusing/2:abused","He abused his authority.","他滥用职权。"
"academic","/ˌækəˈdemɪk/","adj. relating to education","adj. 学术的","adj.","4","1","toefl","1870","4.5","0:academics","She has an academic background.","她有学术背景。"
"accelerate","/əkˈseləreɪt/","v. to move faster","v. 加速","v.","3","0","toefl","4723","3.1","0:accelerates/1:accelerating/2:accelerated","The car accelerated quickly.","汽车加速很快。"
"access","/ˈækses/","n. means to approach","n. 通道；进入权","n.","4","1","toefl","1098","5","0:accesses/1:accessing/2:accessed","Access to the building is restricted.","进入大楼受限。"
"accommodate","/əˈkɑːmədeɪt/","v. to provide lodging","v. 容纳","v.","3","0","toefl","3156","3.6","0:accommodates/1:accommodating/2:accommodated","The hotel can accommodate 500 guests.","酒店可容纳500位客人。"
"accompany","/əˈkʌmpəni/","v. to go with","v. 陪伴","v.","3","0","toefl","2890","3.8","0:accompanies/1:accompanying/2:accompanied","Music accompanied the dance.","音乐伴随舞蹈。"
"accomplish","/əˈkɑːmplɪʃ/","v. to achieve","v. 完成；实现","v.","3","0","toefl","3782","3.4","0:accomplishes/1:accomplishing/2:accomplished","They accomplished their goal.","他们实现了目标。"
"accurate","/ˈækjərət/","adj. correct","adj. 准确的","adj.","3","0","toefl","2976","3.7","","The report is accurate.","报告准确。"
"achieve","/əˈtʃiːv/","v. to reach","v. 达到；取得","v.","4","1","toefl","1258","4.8","0:achieves/1:achieving/2:achieved","She achieved great success.","她取得了巨大成功。"
"acknowledge","/əkˈnɑːlɪdʒ/","v. to accept","v. 承认；确认","v.","3","0","toefl","2987","3.7","0:acknowledges/1:acknowledging/2:acknowledged","He acknowledged receipt.","他确认收到。"
"acquire","/əˈkwaɪər/","v. to obtain","v. 获得","v.","4","0","toefl","1987","4.4","0:acquires/1:acquiring/2:acquired","She acquired new skills.","她学到了新技能。"
"adapt","/əˈdæpt/","v. to make suitable","v. 适应","v.","3","0","toefl","3321","3.5","0:adapts/1:adapting/2:adapted","Animals adapt to their environment.","动物适应环境。"
"adequate","/ˈædɪkwət/","adj. satisfactory","adj. 足够的","adj.","3","0","toefl","3876","3.3","","The supply is adequate.","供应充足。"
"adjust","/əˈdʒʌst/","v. to alter","v. 调整","v.","3","0","toefl","3121","3.5","0:adjusts/1:adjusting/2:adjusted","Please adjust the settings.","请调整设置。"
